repeticao,threads,tempo_s
1,1,.0796
2,1,.0348
3,1,.0313
4,1,.0503
5,1,.0310
6,1,.0297
7,1,.0386
8,1,.0330
9,1,.0289
10,1,.0320
11,1,.0290
12,1,.0328
13,1,.0301
14,1,.0302
15,1,.0304
16,1,.0331
17,1,.0301
18,1,.0310
19,1,.0311
20,1,.0303
21,1,.0354
22,1,.0292
23,1,.0307
24,1,.0346
25,1,.0300
26,1,.0286
27,1,.0322
28,1,.0305
29,1,.0320
30,1,.0308
1,2,.0341
2,2,.0304
3,2,.0321
4,2,.0325
5,2,.0318
6,2,.0339
7,2,.0337
8,2,.0317
9,2,.0318
10,2,.0289
11,2,.0273
12,2,.0314
13,2,.0294
14,2,.0316
15,2,.0306
16,2,.0309
17,2,.0291
18,2,.0267
19,2,.0291
20,2,.0276
21,2,.0291
22,2,.0290
23,2,.0304
24,2,.0299
25,2,.0323
26,2,.0322
27,2,.0335
28,2,.0316
29,2,.0323
30,2,.0285
1,4,.0309
2,4,.0425
3,4,.0481
4,4,.0326
5,4,.0296
6,4,.0279
7,4,.0307
8,4,.0317
9,4,.0304
10,4,.0353
11,4,.0299
12,4,.0305
13,4,.0395
14,4,.0316
15,4,.0319
16,4,.0355
17,4,.0315
18,4,.0334
19,4,.0316
20,4,.0349
21,4,.0329
22,4,.0359
23,4,.0341
24,4,.0434
25,4,.0498
26,4,.0531
27,4,.0544
28,4,.0470
29,4,.0446
30,4,.0512
